word_de,word_en,phonetic_de,word_type,clue_1,clue_2
Bank,bank,baŋk,noun,A financial institution,Where you store money
Konto,account,ˈkɔnto,noun,Where your money is kept in a bank,Checking or savings
Geld,money,gɛlt,noun,Used to pay for things,Currency you use
überweisen,transfer,yːbɐˈvaɪzən,verb,Send money to another account,Electronic payment
abheben,withdraw,ˈaphebən,verb,Take money from ATM,Get cash from account
einzahlen,deposit,ˈaɪntsaːlən,verb,Put money into account,Add funds
Kredit,credit,kʁeˈdiːt,noun,Money borrowed from bank,Loan from bank
Zinsen,interest,ˈtsɪnzən,noun,Money paid for borrowing,Percentage charged on loans
Sparkonto,savings account,ʃpaːɐ̯ˈkɔnto,noun,Account that earns interest,Long-term money storage
Bankkarte,debit card,ˈbaŋkkaʁtə,noun,Card to access your money,Used at ATM or stores
